rxn_id,rxn_smiles,solvent,temp,G_act,G_r
0,[C:1](=[C:2]([C:3]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11].[C:4](#[N+:5][C-:6]([C:7]([H:17])([H:18])[H:19])[C:8]#[N:9])[H:16]>>[C:1]1([H:10])([H:11])[C:2]([C:3]([H:13])([H:14])[H:15])([H:12])[C:4]([H:16])=[N:5][C:6]1([C:7]([H:17])([H:18])[H:19])[C:8]#[N:9],water,298.15,15.875895621136172,-51.88152615910866
1,[C:1](=[C:2]([C:3]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11].[C:4](#[N+:5][C-:6]([C:7]([H:17])([H:18])[H:19])[C:8]#[N:9])[H:16]>>[C:1]1([H:10])([H:11])[C:2]([C:3]([H:13])([H:14])[H:15])([H:12])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]#[N:9])[N:5]=[C:4]1[H:16],water,298.15,15.155476944785311,-51.39868083364623
2,[C:4]([C:5](=[O:6])[C:7]#[N+:8][O-:9])([H:10])([H:11])[H:12].[C:1](#[C:2][C:3]([H:14])([H:15])[H:16])[H:13]>>[c:1]1([H:13])[c:2]([C:3]([H:14])([H:15])[H:16])[o:9][n:8][c:7]1[C:5]([C:4]([H:10])([H:11])[H:12])=[O:6],water,298.15,18.01382414212364,-66.82234856100307
3,[C:4]([C:5](=[O:6])[C:7]#[N+:8][O-:9])([H:10])([H:11])[H:12].[C:1](#[C:2][C:3]([H:14])([H:15])[H:16])[H:13]>>[c:1]1([H:13])[c:2]([C:3]([H:14])([H:15])[H:16])[c:7]([C:5]([C:4]([H:10])([H:11])[H:12])=[O:6])[n:8][o:9]1,water,298.15,23.6870788323347,-62.48128935839341
4,[C:1]([C:2]#[C:3][C:4]([H:15])([H:16])[H:17])([H:12])([H:13])[H:14].[C:5]([N-:6][N+:7]#[C:8][C:9]([C:10]([H:21])([H:22])[H:23])=[O:11])([H:18])([H:19])[H:20]>>[C:1]([c:2]1[c:3]([C:4]([H:15])([H:16])[H:17])[n:6]([C:5]([H:18])([H:19])[H:20])[n:7][c:8]1[C:9]([C:10]([H:21])([H:22])[H:23])=[O:11])([H:12])([H:13])[H:14],water,298.15,23.4380941749408,-84.83645875007423
5,[C:1]([N:2]([C:3](=[O:4])[C:5]#[C:6][F:7])[H:15])([H:12])([H:13])[H:14].[C:8]([C:9](=[O+:10][O-:11])[H:19])([H:16])([H:17])[H:18]>>[C:1]([N:2]([C:3](=[O:4])[C:5]1=[C:6]([F:7])[C:9]([C:8]([H:16])([H:17])[H:18])([H:19])[O:10][O:11]1)[H:15])([H:12])([H:13])[H:14],water,298.15,20.96980130379149,-57.78504555912068
6,[C:1]([N:2]([C:3](=[O:4])[C:5]#[C:6][F:7])[H:15])([H:12])([H:13])[H:14].[C:8]([C:9](=[O+:10][O-:11])[H:19])([H:16])([H:17])[H:18]>>[C:1]([N:2]([C:3](=[O:4])[C:5]1=[C:6]([F:7])[O:11][O:10][C:9]1([C:8]([H:16])([H:17])[H:18])[H:19])[H:15])([H:12])([H:13])[H:14],water,298.15,11.722624703853556,-63.72133148926604
7,[C-:8]([O+:9]=[C:10]([C:11]([H:15])([H:16])[H:17])[H:14])([H:12])[H:13].[C:1]([C:2]#[C:3][C:4](=[O:5])[N:6]([C:7]([H:22])([H:23])[H:24])[H:21])([H:18])([H:19])[H:20]>>[C:1]([C:2]1=[C:3]([C:4](=[O:5])[N:6]([C:7]([H:22])([H:23])[H:24])[H:21])[C:8]([H:12])([H:13])[O:9][C:10]1([C:11]([H:15])([H:16])[H:17])[H:14])([H:18])([H:19])[H:20],water,298.15,7.2680437229602655,-86.99610167382544
8,[C-:8]([O+:9]=[C:10]([C:11]([H:15])([H:16])[H:17])[H:14])([H:12])[H:13].[C:1]([C:2]#[C:3][C:4](=[O:5])[N:6]([C:7]([H:22])([H:23])[H:24])[H:21])([H:18])([H:19])[H:20]>>[C:1]([C:2]1=[C:3]([C:4](=[O:5])[N:6]([C:7]([H:22])([H:23])[H:24])[H:21])[C:10]([C:11]([H:15])([H:16])[H:17])([H:14])[O:9][C:8]1([H:12])[H:13])([H:18])([H:19])[H:20],water,298.15,6.289672901608013,-86.79967066656836
9,[C:1](=[C:2]([C:3]([H:15])([H:16])[H:17])[C:4]([H:18])([H:19])[H:20])([H:13])[H:14].[C:5]([C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12])([H:21])([H:22])[H:23]>>[C:1]1([H:13])([H:14])[C:2]([C:3]([H:15])([H:16])[H:17])([C:4]([H:18])([H:19])[H:20])[C:10]([C:11]#[N:12])=[N:9][C:6]1([C:5]([H:21])([H:22])[H:23])[C:7]#[N:8],water,298.15,16.044474663496793,-50.40919675258632
10,[C:1](=[C:2]([C:3]([H:15])([H:16])[H:17])[C:4]([H:18])([H:19])[H:20])([H:13])[H:14].[C:5]([C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12])([H:21])([H:22])[H:23]>>[C:1]1([H:13])([H:14])[C:2]([C:3]([H:15])([H:16])[H:17])([C:4]([H:18])([H:19])[H:20])[C:6]([C:5]([H:21])([H:22])[H:23])([C:7]#[N:8])[N:9]=[C:10]1[C:11]#[N:12],water,298.15,13.604004801369472,-51.00812639671986
13,[C:1]([O:2][C:3]#[C:4][O:5][C:6]([H:15])([H:16])[H:17])([H:12])([H:13])[H:14].[C:7]([C:8]([C:9]([H:21])([H:22])[H:23])=[N+:10]([O-:11])[H:24])([H:18])([H:19])[H:20]>>[C:1]([O:2][C:3]1=[C:4]([O:5][C:6]([H:15])([H:16])[H:17])[O:11][N:10]([H:24])[C:8]1([C:7]([H:18])([H:19])[H:20])[C:9]([H:21])([H:22])[H:23])([H:12])([H:13])[H:14],water,298.15,29.72168741039899,-31.860682860992828
14,[C:4]([O:5][C:6](=[O:7])[N-:8][N+:9](=[C:10]([C:11]([H:18])([H:19])[H:20])[C:12]#[N:13])[H:17])([H:14])([H:15])[H:16].[C:1](#[C:2][C:3]([H:22])([H:23])[H:24])[H:21]>>[C:1]1([H:21])=[C:2]([C:3]([H:22])([H:23])[H:24])[C:10]([C:11]([H:18])([H:19])[H:20])([C:12]#[N:13])[N:9]([H:17])[N:8]1[C:6]([O:5][C:4]([H:14])([H:15])[H:16])=[O:7],water,298.15,30.62815208822521,-29.200615658139487
15,[C:4]([O:5][C:6](=[O:7])[N-:8][N+:9](=[C:10]([C:11]([H:18])([H:19])[H:20])[C:12]#[N:13])[H:17])([H:14])([H:15])[H:16].[C:1](#[C:2][C:3]([H:22])([H:23])[H:24])[H:21]>>[C:1]1([H:21])=[C:2]([C:3]([H:22])([H:23])[H:24])[N:8]([C:6]([O:5][C:4]([H:14])([H:15])[H:16])=[O:7])[N:9]([H:17])[C:10]1([C:11]([H:18])([H:19])[H:20])[C:12]#[N:13],water,298.15,27.26830619740928,-30.39435941411271
16,[C:1]([C:2]#[C:3][C:4]([H:18])([H:19])[H:20])([H:15])([H:16])[H:17].[C:5]([C:6]([C:7]#[N:8])=[N+:9]([C-:10]([C:11]#[N:12])[C:13]#[N:14])[H:24])([H:21])([H:22])[H:23]>>[C:1]([C:2]1=[C:3]([C:4]([H:18])([H:19])[H:20])[C:10]([C:11]#[N:12])([C:13]#[N:14])[N:9]([H:24])[C:6]1([C:5]([H:21])([H:22])[H:23])[C:7]#[N:8])([H:15])([H:16])[H:17],water,298.15,24.16757346471481,-34.125640009143595
17,[C:1]([C:2]#[C:3][F:4])([H:14])([H:15])[H:16].[C:5]([C:6](=[O:7])[C:8](=[O+:9][C-:10]([C:11]([C:12]([H:22])([H:23])[H:24])=[O:13])[H:21])[H:20])([H:17])([H:18])[H:19]>>[C:1]([C:2]1=[C:3]([F:4])[C:10]([C:11]([C:12]([H:22])([H:23])[H:24])=[O:13])([H:21])[O:9][C:8]1([C:6]([C:5]([H:17])([H:18])[H:19])=[O:7])[H:20])([H:14])([H:15])[H:16],water,298.15,9.288554883851594,-80.32342035757739
