0,[C:1]([C:2]([H:10])([C:11]#[N:12])[H:15])([N:3]([H:4])[H:5])([C:6]([H:7])([H:8])[H:9])[Br:13].[F-:14]>>[Br-:13].[C:1](=[C:2]([H:10])[C:11]#[N:12])([N:3]([H:4])[H:5])[C:6]([H:7])([H:8])[H:9].[F:14][H:15]
1,[C:1]([C:2]([H:7])([N:8]([H:9])[H:10])[H:13])([H:3])([N:4]([H:5])[H:6])[Cl:11].[F-:12]>>[C:1](=[C:2]([H:7])[N:8]([H:9])[H:10])([H:3])[N:4]([H:5])[H:6].[Cl-:11].[F:12][H:13]
2,[C:1]([C:2]([N:8]([H:9])[H:10])([N:11]([H:12])[H:13])[H:16])([H:3])([C:4]([H:5])([H:6])[H:7])[Cl:14].[F-:15]>>[C:1](=[C:2]([N:8]([H:9])[H:10])[N:11]([H:12])[H:13])([H:3])[C:4]([H:5])([H:6])[H:7].[Cl-:14].[F:15][H:16]
3,[C:1]([C:2]([N+:8](=[O:9])[O-:10])([H:11])[H:14])([H:3])([C:4]([H:5])([H:6])[H:7])[Br:12].[F-:13]>>[Br-:12].[C:1]([C:2]([N+:8](=[O:9])[O-:10])([H:11])[H:14])([H:3])([C:4]([H:5])([H:6])[H:7])[F:13]
4,[C:1]([C:2]([C:8]#[N:9])([C:10]([H:11])([H:12])[H:13])[H:16])([N:3]([H:4])[H:5])([C:6]#[N:7])[Cl:14].[F-:15]>>[C:1](=[C:2]([C:8]#[N:9])[C:10]([H:11])([H:12])[H:13])([N:3]([H:4])[H:5])[C:6]#[N:7].[Cl-:14].[F:15][H:16]
5,[C:1]([C:2]([C:6]([H:7])([H:8])[H:9])([N+:10](=[O:11])[O-:12])[H:15])([H:3])([C:4]#[N:5])[Br:13].[Cl-:14]>>[Br-:13].[C:1]([C:2]([C:6]([H:7])([H:8])[H:9])([N+:10](=[O:11])[O-:12])[H:15])([H:3])([C:4]#[N:5])[Cl:14]
6,[C:1]([C:2]([C:6]([H:7])([H:8])[H:9])([C:10]#[N:11])[H:14])([H:3])([C:4]#[N:5])[Cl:12].[F-:13]>>[C:1]([C:2]([C:6]([H:7])([H:8])[H:9])([C:10]#[N:11])[H:14])([H:3])([C:4]#[N:5])[F:13].[Cl-:12]
7,[C:1]([C:2]([N:10]([H:11])[H:12])([N:13]([H:14])[H:15])[H:18])([C:3]([H:4])([H:5])[H:6])([N+:7](=[O:8])[O-:9])[Cl:16].[Cl-:17]>>[C:1](=[C:2]([N:10]([H:11])[H:12])[N:13]([H:14])[H:15])([C:3]([H:4])([H:5])[H:6])[N+:7](=[O:8])[O-:9].[Cl-:16].[Cl:17][H:18]
8,[Br-:10].[C:1]([C:2]([H:5])([N+:6](=[O:7])[O-:8])[H:11])([H:3])([H:4])[Cl:9]>>[C:1]([C:2]([H:5])([N+:6](=[O:7])[O-:8])[H:11])([H:3])([H:4])[Br:10].[Cl-:9]
9,[Br-:15].[C:1]([C:2]([C:11]#[N:12])([H:13])[H:16])([C:3]([H:4])([H:5])[H:6])([C:7]([H:8])([H:9])[H:10])[Cl:14]>>[C:1]([C:2]([C:11]#[N:12])([H:13])[H:16])([C:3]([H:4])([H:5])[H:6])([C:7]([H:8])([H:9])[H:10])[Br:15].[Cl-:14]
10,[C:1]([C:2]([C:10]([H:11])([H:12])[H:13])([N+:14](=[O:15])[O-:16])[H:19])([C:3]([H:4])([H:5])[H:6])([N:7]([H:8])[H:9])[Br:17].[F-:18]>>[Br-:17].[C:1](=[C:2]([C:10]([H:11])([H:12])[H:13])[N+:14](=[O:15])[O-:16])([C:3]([H:4])([H:5])[H:6])[N:7]([H:8])[H:9].[F:18][H:19]
11,[C:1]([C:2]([N:7]([H:8])[H:9])([C:10]([H:11])([H:12])[H:13])[H:16])([H:3])([N+:4](=[O:5])[O-:6])[Cl:14].[Cl-:15]>>[C:1](=[C:2]([N:7]([H:8])[H:9])[C:10]([H:11])([H:12])[H:13])([H:3])[N+:4](=[O:5])[O-:6].[Cl-:14].[Cl:15][H:16]
12,[C:1]([C:2]([H:7])([C:8]([H:9])([H:10])[H:11])[H:14])([H:3])([N+:4](=[O:5])[O-:6])[F:12].[Cl-:13]>>[C:1]([C:2]([H:7])([C:8]([H:9])([H:10])[H:11])[H:14])([H:3])([N+:4](=[O:5])[O-:6])[Cl:13].[F-:12]
13,[Br-:17].[C:1]([C:2]([C:11]([H:12])([H:13])[H:14])([H:15])[H:18])([C:3]([H:4])([H:5])[H:6])([C:7]([H:8])([H:9])[H:10])[F:16]>>[C:1]([C:2]([C:11]([H:12])([H:13])[H:14])([H:15])[H:18])([C:3]([H:4])([H:5])[H:6])([C:7]([H:8])([H:9])[H:10])[Br:17].[F-:16]
14,[Br-:12].[C:1]([C:2]([H:7])([N:8]([H:9])[H:10])[H:13])([N+:3](=[O:4])[O-:5])([H:6])[Cl:11]>>[Br:12][H:13].[C:1](=[C:2]([H:7])[N:8]([H:9])[H:10])([N+:3](=[O:4])[O-:5])[H:6].[Cl-:11]
15,[C:1]([C:2]([H:8])([C:9]#[N:10])[H:13])([C:3]([H:4])([H:5])[H:6])([H:7])[Cl:11].[F-:12]>>[C:1]([C:2]([H:8])([C:9]#[N:10])[H:13])([C:3]([H:4])([H:5])[H:6])([H:7])[F:12].[Cl-:11]
16,[C:1]([C:2]([H:8])([C:9]#[N:10])[H:13])([C:3]([H:4])([H:5])[H:6])([H:7])[Br:11].[F-:12]>>[Br-:11].[C:1](=[C:2]([H:8])[C:9]#[N:10])([C:3]([H:4])([H:5])[H:6])[H:7].[F:12][H:13]
17,[C:1]([C:2]([H:10])([H:11])[H:14])([C:3]([H:4])([H:5])[H:6])([N+:7](=[O:8])[O-:9])[Br:12].[F-:13]>>[Br-:12].[C:1]([C:2]([H:10])([H:11])[H:14])([C:3]([H:4])([H:5])[H:6])([N+:7](=[O:8])[O-:9])[F:13]
18,[C:1]([C:2]([N+:7](=[O:8])[O-:9])([C:10]#[N:11])[H:14])([N:3]([H:4])[H:5])([H:6])[Cl:12].[F-:13]>>[C:1]([C:2]([N+:7](=[O:8])[O-:9])([C:10]#[N:11])[H:14])([N:3]([H:4])[H:5])([H:6])[F:13].[Cl-:12]
19,[C:1]([C:2]([C:7]([H:8])([H:9])[H:10])([H:11])[H:14])([H:3])([N:4]([H:5])[H:6])[Br:12].[F-:13]>>[Br-:12].[C:1](=[C:2]([C:7]([H:8])([H:9])[H:10])[H:11])([H:3])[N:4]([H:5])[H:6].[F:13][H:14]
20,[C:1]([C:2]([H:8])([C:9]([H:10])([H:11])[H:12])[H:15])([C:3]#[N:4])([N:5]([H:6])[H:7])[F:13].[Cl-:14]>>[C:1]([C:2]([H:8])([C:9]([H:10])([H:11])[H:12])[H:15])([C:3]#[N:4])([N:5]([H:6])[H:7])[Cl:14].[F-:13]
21,[C:1]([C:2]([C:10]([H:11])([H:12])[H:13])([H:14])[H:17])([C:3]([H:4])([H:5])[H:6])([N+:7](=[O:8])[O-:9])[Cl:15].[F-:16]>>[C:1]([C:2]([C:10]([H:11])([H:12])[H:13])([H:14])[H:17])([C:3]([H:4])([H:5])[H:6])([N+:7](=[O:8])[O-:9])[F:16].[Cl-:15]
22,[C:1]([C:2]([C:8]#[N:9])([N:10]([H:11])[H:12])[H:15])([N:3]([H:4])[H:5])([C:6]#[N:7])[Cl:13].[F-:14]>>[C:1](=[C:2]([C:8]#[N:9])[N:10]([H:11])[H:12])([N:3]([H:4])[H:5])[C:6]#[N:7].[Cl-:13].[F:14][H:15]
23,[C:1]([C:2]([C:7]([H:8])([H:9])[H:10])([C:11]#[N:12])[H:15])([H:3])([N+:4](=[O:5])[O-:6])[Cl:13].[F-:14]>>[C:1]([C:2]([C:7]([H:8])([H:9])[H:10])([C:11]#[N:12])[H:15])([H:3])([N+:4](=[O:5])[O-:6])[F:14].[Cl-:13]
24,[C:1]([C:2]([H:8])([H:9])[H:12])([C:3]#[N:4])([N+:5](=[O:6])[O-:7])[Cl:10].[F-:11]>>[C:1]([C:2]([H:8])([H:9])[H:12])([C:3]#[N:4])([N+:5](=[O:6])[O-:7])[F:11].[Cl-:10]
25,[C:1]([C:2]([H:6])([C:7]([H:8])([H:9])[H:10])[H:13])([H:3])([C:4]#[N:5])[Br:11].[Cl-:12]>>[Br-:11].[C:1]([C:2]([H:6])([C:7]([H:8])([H:9])[H:10])[H:13])([H:3])([C:4]#[N:5])[Cl:12]
26,[C:1]([C:2]([H:11])([H:12])[H:15])([C:3]([H:4])([H:5])[H:6])([C:7]([H:8])([H:9])[H:10])[F:13].[Cl-:14]>>[C:1]([C:2]([H:11])([H:12])[H:15])([C:3]([H:4])([H:5])[H:6])([C:7]([H:8])([H:9])[H:10])[Cl:14].[F-:13]
27,[C:1]([C:2]([N:7]([H:8])[H:9])([H:10])[H:13])([N+:3](=[O:4])[O-:5])([H:6])[Br:11].[Cl-:12]>>[Br-:11].[C:1](=[C:2]([N:7]([H:8])[H:9])[H:10])([N+:3](=[O:4])[O-:5])[H:6].[Cl:12][H:13]
28,[C:1]([C:2]([C:11]([H:12])([H:13])[H:14])([C:15]([H:16])([H:17])[H:18])[H:21])([C:3]([H:4])([H:5])[H:6])([C:7]([H:8])([H:9])[H:10])[Br:19].[Cl-:20]>>[Br-:19].[C:1](=[C:2]([C:11]([H:12])([H:13])[H:14])[C:15]([H:16])([H:17])[H:18])([C:3]([H:4])([H:5])[H:6])[C:7]([H:8])([H:9])[H:10].[Cl:20][H:21]
29,[C:1]([C:2]([H:8])([N:9]([H:10])[H:11])[H:14])([C:3]([H:4])([H:5])[H:6])([H:7])[Br:12].[F-:13]>>[Br-:12].[C:1]([C:2]([H:8])([N:9]([H:10])[H:11])[H:14])([C:3]([H:4])([H:5])[H:6])([H:7])[F:13]
30,[C:1]([C:2]([N:7]([H:8])[H:9])([C:10]#[N:11])[H:14])([C:3]#[N:4])([C:5]#[N:6])[Br:12].[F-:13]>>[Br-:12].[C:1]([C:2]([N:7]([H:8])[H:9])([C:10]#[N:11])[H:14])([C:3]#[N:4])([C:5]#[N:6])[F:13]
31,[C:1]([C:2]([C:5]([H:6])([H:7])[H:8])([N+:9](=[O:10])[O-:11])[H:14])([H:3])([H:4])[Cl:12].[F-:13]>>[C:1]([C:2]([C:5]([H:6])([H:7])[H:8])([N+:9](=[O:10])[O-:11])[H:14])([H:3])([H:4])[F:13].[Cl-:12]
32,[C:1]([C:2]([C:11]#[N:12])([C:13]#[N:14])[H:17])([C:3]([H:4])([H:5])[H:6])([C:7]([H:8])([H:9])[H:10])[Br:15].[F-:16]>>[Br-:15].[C:1]([C:2]([C:11]#[N:12])([C:13]#[N:14])[H:17])([C:3]([H:4])([H:5])[H:6])([C:7]([H:8])([H:9])[H:10])[F:16]
33,[Br-:14].[C:1]([C:2]([C:8]#[N:9])([N+:10](=[O:11])[O-:12])[H:15])([C:3]([H:4])([H:5])[H:6])([H:7])[Cl:13]>>[C:1]([C:2]([C:8]#[N:9])([N+:10](=[O:11])[O-:12])[H:15])([C:3]([H:4])([H:5])[H:6])([H:7])[Br:14].[Cl-:13]
34,[C:1]([C:2]([C:7]#[N:8])([H:9])[H:12])([N:3]([H:4])[H:5])([H:6])[Br:10].[F-:11]>>[Br-:10].[C:1](=[C:2]([C:7]#[N:8])[H:9])([N:3]([H:4])[H:5])[H:6].[F:11][H:12]
35,[C:1]([C:2]([C:5]#[N:6])([H:7])[H:10])([H:3])([H:4])[Br:8].[Cl-:9]>>[Br-:8].[C:1]([C:2]([C:5]#[N:6])([H:7])[H:10])([H:3])([H:4])[Cl:9]
36,[Br-:15].[C:1]([C:2]([N:8]([H:9])[H:10])([N:11]([H:12])[H:13])[H:16])([H:3])([C:4]([H:5])([H:6])[H:7])[Cl:14]>>[C:1]([C:2]([N:8]([H:9])[H:10])([N:11]([H:12])[H:13])[H:16])([H:3])([C:4]([H:5])([H:6])[H:7])[Br:15].[Cl-:14]
37,[C:1]([C:2]([N:10]([H:11])[H:12])([C:13]([H:14])([H:15])[H:16])[H:19])([N+:3](=[O:4])[O-:5])([C:6]([H:7])([H:8])[H:9])[Cl:17].[F-:18]>>[C:1](=[C:2]([N:10]([H:11])[H:12])[C:13]([H:14])([H:15])[H:16])([N+:3](=[O:4])[O-:5])[C:6]([H:7])([H:8])[H:9].[Cl-:17].[F:18][H:19]
38,[C:1]([C:2]([N:7]([H:8])[H:9])([C:10]([H:11])([H:12])[H:13])[H:16])([N:3]([H:4])[H:5])([H:6])[Br:14].[F-:15]>>[Br-:14].[C:1](=[C:2]([N:7]([H:8])[H:9])[C:10]([H:11])([H:12])[H:13])([N:3]([H:4])[H:5])[H:6].[F:15][H:16]
39,[C:1]([C:2]([C:7]#[N:8])([H:9])[H:12])([H:3])([N:4]([H:5])[H:6])[Br:10].[F-:11]>>[Br-:10].[C:1](=[C:2]([C:7]#[N:8])[H:9])([H:3])[N:4]([H:5])[H:6].[F:11][H:12]
40,[Br-:12].[C:1]([C:2]([C:5]([H:6])([H:7])[H:8])([C:9]#[N:10])[H:13])([H:3])([H:4])[Cl:11]>>[C:1]([C:2]([C:5]([H:6])([H:7])[H:8])([C:9]#[N:10])[H:13])([H:3])([H:4])[Br:12].[Cl-:11]
41,[C:1]([C:2]([N:6]([H:7])[H:8])([H:9])[H:12])([C:3]#[N:4])([H:5])[Cl:10].[F-:11]>>[C:1](=[C:2]([N:6]([H:7])[H:8])[H:9])([C:3]#[N:4])[H:5].[Cl-:10].[F:11][H:12]
42,[C:1]([C:2]([C:8]#[N:9])([H:10])[H:13])([C:3]([H:4])([H:5])[H:6])([H:7])[F:11].[F-:12]>>[C:1](=[C:2]([C:8]#[N:9])[H:10])([C:3]([H:4])([H:5])[H:6])[H:7].[F-:11].[F:12][H:13]
