id,reaction,label
0,e2,E_D_A_C_C_B
1,e2,A_E_A_E_B_B
2,e2,A_D_E_E_B_B
3,sn2,A_D_B_A_C_B
4,e2,E_C_C_D_B_B
5,sn2,A_C_D_B_C_C
6,sn2,A_C_D_C_B_B
7,e2,D_B_E_E_B_C
8,sn2,A_A_A_B_B_D
9,sn2,D_D_C_A_B_D
10,e2,D_E_D_B_C_B
11,e2,A_B_E_D_B_C
12,sn2,A_B_A_D_A_C
13,sn2,D_D_D_A_A_D
14,e2,B_A_A_E_B_D
15,sn2,D_A_A_C_B_B
16,e2,D_A_A_C_C_B
17,sn2,D_B_A_A_C_B
18,sn2,E_A_B_C_B_B
19,e2,A_E_D_A_C_B
20,sn2,C_E_A_D_A_C
21,sn2,D_B_D_A_B_B
22,e2,E_C_C_E_B_B
23,sn2,A_B_D_C_B_B
24,sn2,C_B_A_A_B_B
25,sn2,A_C_A_D_C_C
26,sn2,D_D_A_A_A_C
27,e2,B_A_E_A_C_C
28,e2,D_D_D_D_C_C
29,sn2,D_A_A_E_C_B
30,sn2,C_C_E_C_C_B
31,sn2,A_A_D_B_B_B
32,sn2,D_D_C_C_C_B
33,sn2,D_A_C_B_B_D
34,e2,E_A_C_A_C_B
35,sn2,A_A_C_A_C_C
36,sn2,A_D_E_E_B_D
37,e2,B_D_E_D_B_B
38,e2,E_A_E_D_C_B
39,e2,A_E_C_A_C_B
40,sn2,A_A_D_C_B_D
41,e2,C_A_E_A_B_B
42,e2,D_A_C_A_A_B
43,e2,B_D_E_A_C_C
44,e2,A_A_D_C_B_C
45,sn2,C_A_E_A_B_D
46,e2,E_C_E_E_C_B
47,sn2,E_E_C_C_B_B
48,sn2,E_A_A_A_A_C
49,sn2,A_D_D_A_A_D
50,e2,D_C_A_A_B_C
51,sn2,D_A_A_D_C_B
52,sn2,C_D_D_D_B_B
53,sn2,C_D_E_A_A_C
54,sn2,E_B_D_C_C_B
55,sn2,A_E_A_B_B_B
56,sn2,A_D_A_C_A_C
57,sn2,D_C_A_A_C_C
58,e2,A_A_E_A_C_D
59,e2,C_D_E_A_B_D
60,e2,D_B_E_A_B_B
61,e2,C_E_C_D_B_C
62,e2,D_A_E_E_C_C
63,e2,E_A_E_A_C_B
64,e2,E_D_D_E_C_B
65,sn2,A_E_E_D_B_B
66,sn2,C_D_E_D_C_B
67,e2,C_A_C_C_A_B
68,sn2,B_D_A_A_C_B
69,sn2,C_C_A_D_C_C
70,sn2,A_A_B_D_C_C
71,e2,C_C_E_E_C_C
72,sn2,C_D_A_A_C_C
73,e2,B_E_A_D_B_B
74,e2,E_A_A_A_C_B
75,e2,B_D_A_D_B_B
76,sn2,C_A_B_A_C_B
77,sn2,B_A_D_C_C_B
78,sn2,D_D_A_D_B_B
79,sn2,A_D_A_C_A_D
80,e2,D_B_A_E_C_B
81,sn2,A_C_C_D_C_B
82,sn2,A_D_E_E_A_C
83,sn2,A_D_D_E_B_D
84,sn2,B_D_D_A_C_B
85,sn2,D_A_B_B_B_B
86,sn2,A_C_B_C_B_B
87,e2,C_D_D_D_C_C
88,sn2,D_D_D_A_C_C
89,sn2,E_E_B_C_A_D
90,sn2,B_A_A_C_B_B
91,sn2,A_A_C_E_B_D
92,e2,D_A_D_A_B_B
93,e2,C_D_E_D_B_C
94,sn2,E_E_C_C_A_C
95,e2,D_B_D_A_C_B
96,sn2,D_B_C_A_C_C
97,e2,A_A_E_B_B_D
98,sn2,A_C_D_A_A_C
99,sn2,A_D_C_D_B_B
100,sn2,A_B_A_A_C_C
101,e2,C_D_C_E_C_C
102,e2,C_D_A_A_C_C
103,sn2,A_A_B_C_C_B
104,e2,C_A_A_A_A_B
105,sn2,D_A_D_B_B_B
106,e2,C_E_B_D_B_B
107,sn2,B_A_A_C_C_B
108,sn2,E_C_B_D_B_D
109,e2,D_C_A_D_B_C
110,e2,C_D_A_E_C_B
111,e2,D_E_A_B_C_B
112,e2,B_A_A_E_C_B
113,e2,A_D_E_B_B_C
114,sn2,E_B_A_A_C_B
115,e2,A_B_E_E_C_B
116,e2,A_C_D_E_C_C
117,e2,B_D_E_A_C_B
118,e2,A_A_C_A_C_B
119,e2,A_D_A_A_C_C
120,e2,D_A_D_D_B_C
121,sn2,A_A_C_D_C_C
122,sn2,B_E_A_A_A_C
123,e2,A_D_D_D_B_B
124,sn2,C_A_C_D_B_B
125,sn2,A_C_D_C_C_B
126,sn2,A_A_D_C_A_C
127,sn2,D_D_C_A_B_B
128,e2,B_E_E_E_B_B
129,e2,C_C_C_A_C_B
130,sn2,B_E_D_E_C_B
131,e2,A_D_D_E_B_B
132,sn2,A_D_E_D_A_C
133,e2,A_D_E_D_C_B
134,sn2,A_D_E_C_C_C
135,e2,E_D_A_E_B_B
136,sn2,A_E_E_C_B_B
137,e2,C_C_A_E_B_B
138,sn2,D_D_B_A_A_C
139,e2,E_A_A_C_B_B
140,sn2,A_D_A_E_B_B
141,e2,D_E_D_E_C_B
142,sn2,D_B_E_A_B_B
143,sn2,E_E_B_B_B_B
144,sn2,C_E_C_A_B_B
145,e2,A_E_D_C_B_B
146,sn2,C_D_D_A_C_C
147,sn2,B_A_D_D_A_C
148,sn2,E_C_C_C_A_C
149,sn2,A_C_E_A_B_B
150,e2,A_B_E_E_B_B
151,sn2,A_E_C_E_B_B
152,sn2,D_A_D_C_A_D
153,e2,D_D_E_D_C_B
154,sn2,C_D_C_E_C_B
155,e2,B_E_A_A_B_B
156,sn2,B_E_A_D_C_B
157,sn2,A_A_D_E_A_C
158,e2,A_E_D_D_C_B
159,e2,B_C_E_A_B_D
160,sn2,D_A_D_B_B_D
161,sn2,B_E_D_D_B_B
162,e2,C_C_E_A_C_B
163,sn2,A_C_B_A_B_D
164,e2,A_B_E_A_C_C
165,e2,C_A_C_D_A_B
166,e2,C_C_E_E_C_B
167,sn2,C_C_D_A_C_C
168,sn2,D_C_D_D_B_D
169,e2,D_E_D_D_C_B
170,sn2,B_E_A_D_A_C
171,sn2,A_A_B_A_B_D
172,sn2,A_E_A_C_B_B
173,sn2,A_C_D_A_B_B
174,e2,B_D_D_A_B_B
175,e2,B_A_E_B_C_B
176,e2,C_C_A_D_B_C
177,sn2,A_D_A_B_C_C
178,sn2,A_D_A_B_C_B
179,e2,E_A_D_D_B_B
180,e2,E_D_A_E_C_B
181,sn2,D_B_E_E_A_D
182,e2,B_A_D_A_C_B
183,e2,D_C_D_E_B_C
184,sn2,D_A_A_B_A_D
185,sn2,B_A_B_C_C_C
186,sn2,C_D_C_C_B_B
187,e2,D_C_D_E_B_B
188,e2,C_D_D_A_C_C
189,sn2,D_A_D_D_B_B
190,sn2,D_D_E_C_A_D
191,sn2,E_B_A_E_C_C
192,sn2,E_C_A_A_A_D
193,e2,C_C_B_D_C_C
194,e2,D_C_E_D_B_C
195,e2,D_A_D_A_B_C
196,sn2,C_E_A_B_A_C
197,sn2,D_A_A_B_B_D
198,sn2,A_C_A_B_C_B
199,e2,E_B_A_A_C_B
200,e2,D_A_D_A_C_B
201,sn2,E_E_C_D_B_B
202,sn2,C_D_A_E_A_D
203,sn2,C_E_D_C_A_C
