rxn_id,ts_file,converged_racer_ts,irc_converged_racer_ts,cycle_cnt_racer_ts,energy_kcal_racer_ts,converged_active_learning,irc_converged_active_learning,cycle_cnt_active_learning,energy_kcal_active_learning
74,mol_000.xyz,True,True,28,-485220.3010631722,True,True,9,-485220.30284819746
74,mol_001.xyz,True,True,24,-485220.22034401953,True,True,8,-485220.2177474481
121,mol_000.xyz,True,True,12,-485768.4806961046,True,True,6,-485768.4789687869
121,mol_002.xyz,True,True,12,-485768.4707048711,True,True,9,-485768.4699631542
121,mol_003.xyz,True,True,12,-485768.451735616,True,True,8,-485768.45115611266
137,mol_000.xyz,True,True,32,-535848.2618304512,True,True,10,-535848.2647233831
137,mol_001.xyz,True,True,14,-535848.2837368719,True,True,8,-535848.2853061904
137,mol_002.xyz,True,True,14,-535848.3438125573,True,True,8,-535848.3533235299
260,mol_000.xyz,True,True,14,-517482.1264704425,True,True,12,-517482.1247144056
260,mol_002.xyz,True,True,12,-517482.2445591348,True,True,12,-517482.24462819216
260,mol_003.xyz,True,True,13,-517482.20909275534,True,True,11,-517482.20890622016
308,mol_001.xyz,True,True,18,-587469.9908334459,True,True,18,-587469.9911915245
413,mol_000.xyz,True,True,12,-674934.3664035305,True,True,9,-674934.366138032
413,mol_002.xyz,True,True,14,-674931.4503742508,True,True,8,-674931.4491137447
413,mol_003.xyz,True,True,14,-674931.466619249,True,True,11,-674931.4651518255
420,mol_000.xyz,True,True,13,-737534.7503006156,True,True,12,-737534.7489915459
473,mol_000.xyz,True,True,33,-622866.0724779662,True,True,12,-622866.0712743261
516,mol_000.xyz,True,True,43,-587862.6035725082,True,True,18,-587862.6018714373
516,mol_001.xyz,True,True,23,-587865.1773686372,True,True,12,-587865.1762687751
518,mol_001.xyz,True,True,30,-733285.0945249707,True,True,18,-733285.0941453587
518,mol_002.xyz,True,True,15,-733285.135024044,True,True,17,-733285.1347236367
518,mol_003.xyz,True,True,38,-733285.1055306209,True,True,21,-733285.1055816242
563,mol_000.xyz,True,True,12,-636870.0568318032,True,True,6,-636870.0552279762
563,mol_002.xyz,True,True,12,-636870.7057236782,True,True,5,-636870.7006019723
563,mol_003.xyz,True,True,14,-636863.6513582135,True,True,7,-636863.6505117993
576,mol_002.xyz,True,True,16,-691075.6752065119,True,True,13,-691075.6805125548
665,mol_000.xyz,True,True,14,-762740.0850180988,True,True,12,-762740.0828017415
665,mol_003.xyz,True,True,50,-762736.1880983863,True,True,23,-762736.1822500224
675,mol_000.xyz,True,True,16,-656658.8144027324,True,True,9,-656658.814590138
675,mol_001.xyz,True,True,13,-656658.8029804133,True,True,10,-656658.8085176481
675,mol_002.xyz,True,True,15,-656658.8093835798,True,True,14,-656658.803982726
766,mol_002.xyz,True,True,17,-690835.5398294881,True,True,11,-690835.5423654026
805,mol_002.xyz,True,True,25,-714117.5917978529,True,True,13,-714117.5872261229
